29556|KINGSTREE|[-79.783221, 33.687841]|{'edad': 25, 'sexo': 'M'}|16365|SC
29560|LAKE CITY|[-79.741794, 33.865473]||11664|SC
29563|LAKE VIEW|[-79.192869, 34.34449]||3513|SC
29564|LANE|[-79.871545, 33.50827]|{'edad': 25}|1730|SC
